regime,fraction,representation,median_detections,balanced_accuracy,balanced_accuracy_std,macro_f1,logistic_balanced_accuracy,n_features
random,1.0,summary,42,0.5604,0.0167,0.5597,0.5235,49
random,1.0,signature-per_band-d3,42,0.5376,0.0426,0.5369,0.5015,168
random,1.0,minirocket,42,0.5383,0.0251,0.5391,0.541,9996
random,0.6,summary,25,0.5488,0.0223,0.5473,0.507,49
random,0.6,signature-per_band-d3,25,0.5186,0.014,0.5145,0.4615,168
random,0.6,minirocket,25,0.5042,0.0215,0.5001,0.5106,9996
random,0.35,summary,15,0.5323,0.007,0.5297,0.5016,49
random,0.35,signature-per_band-d3,15,0.4967,0.0382,0.4904,0.4444,168
random,0.35,minirocket,15,0.4777,0.0196,0.4744,0.4487,9996
random,0.2,summary,12,0.5131,0.0123,0.5112,0.484,49
random,0.2,signature-per_band-d3,12,0.5031,0.0189,0.5038,0.4549,168
random,0.2,minirocket,12,0.4667,0.0239,0.4651,0.4222,9996
blocked,0.6,summary,25,0.5361,0.0189,0.5319,0.4813,49
blocked,0.6,signature-per_band-d3,25,0.5084,0.022,0.5085,0.4518,168
blocked,0.6,minirocket,25,0.4805,0.0256,0.4791,0.4721,9996
blocked,0.35,summary,15,0.5196,0.0293,0.5161,0.44,49
blocked,0.35,signature-per_band-d3,15,0.487,0.0257,0.4817,0.4119,168
blocked,0.35,minirocket,15,0.4308,0.0285,0.4235,0.4009,9996
blocked,0.2,summary,12,0.4976,0.0266,0.4922,0.4101,49
blocked,0.2,signature-per_band-d3,12,0.4619,0.0294,0.4574,0.3999,168
blocked,0.2,minirocket,12,0.3975,0.0116,0.3867,0.3802,9996
blocked,1.0,summary,42,0.5604,0.0167,0.5597,0.5235,49
blocked,1.0,signature-per_band-d3,42,0.5376,0.0426,0.5369,0.5015,168
blocked,1.0,minirocket,42,0.5383,0.0251,0.5391,0.541,9996
