source_id,label,n_obs,t_span,period_d
3310492072379904,RR,71,913.05,0.28708587188358237
4184092715799424,DSCT|GDOR|SXPHE,72,913.302,
5390085172869760,RR,69,913.3,0.5517805113599037
38316953733264256,RS,129,914.809,
52700348233830016,ECL,100,917.895,0.2763063157272201
71609474330426368,DSCT|GDOR|SXPHE,82,920.506,
95444893555492992,DSCT|GDOR|SXPHE,89,918.825,
103213183724679680,RS,55,920.83,
160997879882942336,ECL,126,921.66,0.43413221226270077
165430427867321600,ECL,108,920.832,1.8330428019349412
185353166249249536,DSCT|GDOR|SXPHE,177,921.837,
185996616771303552,ECL,135,922.088,0.6232912373427066
187293903053859840,ECL,217,922.59,0.537413966446542
189107959798702336,DSCT|GDOR|SXPHE,105,923.918,
192352927853064576,ECL,119,972.151,0.293968583773473
193270371522479104,ECL,101,973.403,0.3216076201271733
193760272672404352,DSCT|GDOR|SXPHE,74,923.417,
196874123960201984,ECL,107,974.406,0.2554741577347043
200647579150391296,DSCT|GDOR|SXPHE,137,923.667,
201069310579550336,RS,140,923.918,
201217224955623808,DSCT|GDOR|SXPHE,174,890.198,
201482963172196224,RS,194,924.597,
202212012398611968,ECL,152,924.773,2.4251792284677656
204625195603150080,DSCT|GDOR|SXPHE,106,892.549,
205193578694686080,ECL,132,925.172,0.20297891364144321
206044699478507776,LPV,123,892.196,
214301177102757760,RS,143,975.336,
214516440863338880,RS,134,977.339,
219320035368464896,DSCT|GDOR|SXPHE,139,922.662,
219998502761554688,DSCT|GDOR|SXPHE,138,894.854,
229956161099050752,RS,152,924.669,
236895075904603520,DSCT|GDOR|SXPHE,181,897.285,
237848008885832320,DSCT|GDOR|SXPHE,107,925.42,
239047266833505664,RS,76,925.346,
242415208389730304,RS,99,927.102,
244784003113703424,ECL,128,926.675,0.4010332239984544
244935800138186496,ECL,112,926.675,0.23949830734615912
257552322410796160,CEP,187,926.676,3.7580644636867717
259736158659310720,ECL,107,859.675,0.373207759570999
262144875100519168,ECL,135,893.136,0.3938914067375963
264552157025815936,RS,111,981.596,
275076544895360000,RR,218,928.933,0.43011832092483576
275805074421722368,LPV,137,929.611,
276771820027202432,ECL,195,929.936,1.1378220244148236
289092844240061440,RR,139,919.403,0.5580004730121356
292071455599507456,RS,73,921.084,
335413001377399296,RR,84,926.173,0.4617705464372942
335558648011197824,DSCT|GDOR|SXPHE,80,925.346,
336130084820599552,RS,75,925.922,
339455695176919040,DSCT|GDOR|SXPHE,82,927.678,
341924927712909184,RR,85,902.788,0.45059042939355104
348909231730713472,ECL,94,929.183,0.3457764354495249
349000456835921280,ECL,82,929.36,0.45388228304126405
352404785352944384,RS,65,928.932,
353288758343008640,RS,77,929.358,
353705748127039232,DSCT|GDOR|SXPHE,132,928.783,0.09794510218711514
355886492002191232,DSCT|GDOR|SXPHE,88,929.609,
358808306715420928,DSCT|GDOR|SXPHE,59,930.938,
362278640287401728,RR,150,1004.123,0.5099440643992815
368056436452899712,DSCT|GDOR|SXPHE,122,1003.196,0.07245298200563839
384157100615248768,DSCT|GDOR|SXPHE,170,999.699,
387014112860890880,RS,148,997.624,
387749033304420736,DSCT|GDOR|SXPHE,117,1000.622,
390257397285731584,DSCT|GDOR|SXPHE,119,999.195,
392483049339106816,RS,146,997.873,
394217116616033920,RR,202,997.122,0.5432199396291432
394449663324449664,RS,164,996.447,
395772581975787904,ECL,360,995.623,0.35290023127108916
395955100905397376,RS,208,994.873,
396237194357288576,RS,191,994.3,
404740473687222272,RS,163,997.62,
409224488261571072,RS,144,933.872,
409393843113478144,RR,153,933.871,0.6003896923792723
412843565148955776,ECL,268,1003.122,0.2772854633337458
415723014301091072,DSCT|GDOR|SXPHE,208,996.547,0.05191741318416012
417456497457500416,DSCT|GDOR|SXPHE,279,995.62,0.04808184920132775
420177857462555008,RS,180,994.197,
421700234389229184,DSCT|GDOR|SXPHE,194,993.195,
423090017086842240,RS,170,991.697,
426580107514101376,CEP,192,991.295,1.62476769765759
426881614218441600,CEP,188,991.369,4.5016879425540335
426998677847278592,ECL,129,991.62,0.9903724906412475
427548983414846080,ECL,177,989.796,0.6086544931545342
428166732847758464,ECL,158,991.872,1.442438929277546
429007863546728320,DSCT|GDOR|SXPHE,175,991.549,0.09025861213338847
430134862959548288,ECL,111,990.621,0.4673325528843017
430630708354628096,CEP,153,989.548,6.168069008098651
430647231080076416,CEP,154,989.372,3.8103064502407538
430670222050230912,CEP,181,989.871,6.239972555824355
