oid,label,n_det,t_span
ZTF17aaaikab,CV,52,2532.139
ZTF17aaajnki,AGN,449,2818.282
ZTF17aaaobyl,CV,317,2713.735
ZTF17aaaocpq,AGN,381,2899.005
ZTF17aaavjfv,CV,21,2170.145
ZTF17aaawgkc,CV,138,2681.794
ZTF17aaburzk,CV,204,2869.038
ZTF17aacpbmv,SN Ic,16,60.818
ZTF17aactzul,CV,30,2795.088
ZTF17aadcbei,CV,86,2676.945
ZTF18aaabltn,AGN,773,2790.731
ZTF18aaadtdc,AGN,912,2868.027
ZTF18aaaecnk,CV,49,2157.036
ZTF18aaakpbx,CV,417,2691.745
ZTF18aaakpoh,AGN,481,2784.25
ZTF18aaakpsa,AGN,533,2884.0
ZTF18aaaniwu,AGN,406,2676.931
ZTF18aaaokus,AGN,1446,2793.21
ZTF18aaaorhy,AGN,862,2756.348
ZTF18aaaphrw,CV,16,1686.249
ZTF18aaapjfq,CV,1272,2785.649
ZTF18aabfxpw,CV,87,2557.195
ZTF18aabicqe,AGN,737,2704.732
ZTF18aabilqu,AGN,1507,2715.714
ZTF18aabiwhf,CV,40,2255.083
ZTF18aabkjfv,AGN,591,2699.815
ZTF18aabssth,SN II,678,2790.742
ZTF18aabvpbb,CV,141,2773.641
ZTF18aacdvmi,AGN,641,2652.73
ZTF18aacdydz,AGN,632,2700.922
ZTF18aacfonx,AGN,203,2675.848
ZTF18aachojf,AGN,388,2705.649
ZTF18aaddhpb,AGN,752,2649.917
ZTF18aadkjmo,AGN,734,2761.712
ZTF18aadmssd,SN IIn,23,76.91
ZTF18aadnqwz,AGN,173,2673.815
ZTF18aaeauzu,AGN,23,1557.88
ZTF18aaenfaa,AGN,990,2755.688
ZTF18aaeraoq,AGN,481,2805.258
ZTF18aafeiiy,AGN,35,2664.732
ZTF18aafjeeu,AGN,15,1557.902
ZTF18aaflcyp,AGN,16,87.711
ZTF18aagrkwn,AGN,415,2830.234
ZTF18aagteoy,AGN,821,2834.167
ZTF18aagtevs,AGN,1352,2834.268
ZTF18aaheszr,AGN,1050,2802.689
ZTF18aahfjdt,AGN,695,2928.115
ZTF18aahfohe,AGN,429,2834.179
ZTF18aahjbii,AGN,468,2817.151
ZTF18aahjdnz,AGN,561,2834.201
ZTF18aahjjuh,AGN,581,2801.266
ZTF18aahmkac,AGN,44,2948.092
ZTF18aahpbal,AGN,349,2705.78
ZTF18aahpyks,SN Ia,21,497.831
ZTF18aahqrur,AGN,289,2288.937
ZTF18aahtkze,AGN,274,2816.197
ZTF18aahtnlt,AGN,457,2652.967
ZTF18aahuujv,SN Ic,30,415.985
ZTF18aahvcby,AGN,552,3001.99
ZTF18aahwquy,AGN,131,2912.907
ZTF18aahxamc,AGN,118,1127.014
ZTF18aailsee,AGN,141,2755.238
ZTF18aaisybp,SN Ic,17,44.031
ZTF18aaisyyp,SN Ic,855,2828.185
ZTF18aaiwsqa,AGN,1248,2833.197
ZTF18aaixulp,CV,624,2832.158
ZTF18aaizerg,SN Ia,28,37.998
ZTF18aajarpg,AGN,313,2565.993
ZTF18aajiwdu,AGN,142,1553.995
ZTF18aajnqmp,AGN,480,2818.221
ZTF18aajqcue,SLSN-I,223,2814.218
ZTF18aajrwju,AGN,1038,2824.11
ZTF18aajswer,AGN,562,2769.335
ZTF18aajupnt,AGN,67,421.908
ZTF18aakecej,SN Ia,303,2818.213
ZTF18aakgzwi,AGN,998,2835.1
ZTF18aakkvea,AGN,514,2817.184
ZTF18aakpnyt,AGN,474,2807.211
ZTF18aakqtwt,AGN,10,2562.97
ZTF18aakrnvd,SN IIn,399,2827.209
ZTF18aakvxqj,CV,398,2815.234
ZTF18aakzliv,SN Ia,19,364.123
ZTF18aalsiji,AGN,1276,2822.184
ZTF18aamfsxv,AGN,79,2774.268
ZTF18aamftst,SN IIn,537,2822.223
ZTF18aammlba,CV,95,2182.105
ZTF18aamxzjx,AGN,33,1975.283
ZTF18aamyexb,AGN,1076,2812.168
ZTF18aanlzzf,AGN,296,1559.94
ZTF18aaoecso,AGN,1782,2821.057
ZTF18aaojsvk,AGN,470,2834.111
ZTF18aapgbfm,AGN,150,2799.143
ZTF18aapgrxo,SLSN-I,344,2689.768
ZTF18aapzqup,AGN,84,315.093
ZTF18aaqcdyd,SN Ia,39,2214.023
ZTF18aaqdlxt,AGN,638,2822.264
ZTF18aaqduja,AGN,867,2818.222
ZTF18aaqfziz,SN Ia,322,2818.21
ZTF18aaqiivp,AGN,819,2695.801
ZTF18aaqikyu,CV,175,2716.77
ZTF18aaqjcvv,CV,94,2597.927
ZTF18aaqkcso,SN Ia,60,265.311
ZTF18aaqlblz,AGN,219,2428.169
ZTF18aaqxbvf,AGN,223,2269.983
ZTF18aaqydat,SN Ia,11,12.957
ZTF18aaraifg,CV,16,1418.069
ZTF18aarasof,SN IIn,158,2741.625
ZTF18aarbgrh,AGN,465,2744.726
ZTF18aarrwmi,AGN,468,2754.318
ZTF18aarszsc,AGN,450,2705.35
ZTF18aaspova,AGN,779,2740.676
ZTF18aasrlze,SN Ia,94,54.892
ZTF18aasszwr,AGN,610,2728.227
ZTF18aasuray,AGN,673,2828.252
ZTF18aasxahh,AGN,450,2089.207
ZTF18aatezaj,SN Ia,29,56.884
ZTF18aatxsvu,AGN,979,2994.884
ZTF18aauenwu,SN IIn,1581,2767.649
ZTF18aauhley,AGN,356,2579.919
ZTF18aauuohe,AGN,393,2821.31
ZTF18aauvmnq,SN Ia,14,1171.003
ZTF18aavjoas,CV,541,2988.983
ZTF18aavmrqy,AGN,1301,2989.972
ZTF18aavohdq,AGN,791,2819.259
ZTF18aavrmcg,SLSN-I,837,2816.25
ZTF18aavskep,SN IIn,222,2391.313
ZTF18aavskyg,AGN,285,2988.934
ZTF18aavtklk,AGN,814,2807.212
ZTF18aawdoyf,AGN,416,2703.726
ZTF18aawiilg,SN Ia,21,17.978
ZTF18aawjxgs,CV,48,2315.749
ZTF18aawrmvo,CV,38,2406.268
ZTF18aawuzxa,AGN,98,1949.865
ZTF18aaxcfbt,SN Ia,456,2810.144
ZTF18aaxiuyp,SN Ic,17,2142.073
ZTF18aaxjuwy,SN IIn,41,996.204
ZTF18aaxnnev,AGN,484,2943.019
ZTF18aaxnrhv,AGN,440,2776.364
ZTF18aaxrkqy,AGN,497,2804.234
ZTF18aaxryfw,AGN,614,2694.862
ZTF18aaxxfgs,SN IIn,203,2804.189
ZTF18aaxzpyh,AGN,158,2851.983
ZTF18aaybtnt,CV,133,2834.257
ZTF18aaybvhx,AGN,465,2788.219
ZTF18aaydbyc,CV,22,1624.768
ZTF18aayigdr,AGN,364,2641.929
ZTF18aayiqyq,AGN,187,2923.03
ZTF18aayivxm,SN Ia,16,42.99
ZTF18aaylbyr,AGN,391,2782.251
ZTF18aaylcgr,AGN,705,2800.257
ZTF18aaylcvo,SN Ia,230,2784.232
ZTF18aayltmt,AGN,427,2966.877
ZTF18aazcuno,AGN,1088,2751.734
ZTF18aazppgf,AGN,325,2647.958
ZTF18aazvajy,CV,2191,2839.112
ZTF18abbhlxk,AGN,461,2063.322
ZTF18abbovuc,SN Ic,17,32.989
ZTF18abcbwnd,AGN,267,2635.005
ZTF18abcdzte,AGN,483,2788.228
ZTF18abchinz,AGN,183,2380.653
ZTF18abcleke,CV,865,2786.116
ZTF18abcohew,AGN,741,2765.172
ZTF18abcptmt,SN II,40,2144.001
ZTF18abcyzsf,CV,93,1892.798
ZTF18abdbgza,CV,903,2696.787
ZTF18abdkkwa,SN Ic,42,2270.977
ZTF18abeajml,SN II,54,76.907
ZTF18abeaytd,CV,49,2665.899
ZTF18abecbks,SN Ic,32,75.853
ZTF18abedgvo,AGN,596,2938.018
ZTF18abehrdw,CV,1367,2854.04
ZTF18abeyqpr,SN Ic,24,60.832
ZTF18abfgtcf,AGN,684,2769.206
ZTF18abfsess,CV,78,2588.845
ZTF18abfzhct,SN Ic,34,2124.144
ZTF18abgqbsh,AGN,602,2934.018
ZTF18abgxyfz,CV,37,2276.802
ZTF18abhbjyy,AGN,143,2035.29
