n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg,iau_recheck_established,iau_recheck_working
21,1,46.5,48.5,17.0,225.65,64.64,16.59,48.04,1.0063,0.6137,24.37,187.6,48.05,,0.0,1.0,,,,,234,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",28.5,0.303,1.0,115.44,69.66,north_toroidal,66.4,,
25,2,70.5,74.0,16.0,282.37,-11.43,40.34,72.6,0.0996,0.956,41.26,329.17,72.6,,0.0,1.0,,,,,92,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",6.0,0.304,1.0,209.86,11.56,antihelion,15.2,,
73,1,78.0,80.0,8.81,3.3,10.96,66.91,79.12,0.767,0.913,162.42,119.1,79.11,,0.0,1.0,,,,,250,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",26.5,0.372,0.728,287.16,10.09,north_apex,17.5,,
14,1,91.5,93.5,8.86,303.06,-17.44,40.74,92.82,0.0582,0.9741,8.99,333.92,92.93,,0.0,1.0,,,,,81,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",7.5,0.321,1.0,207.4,2.45,antihelion,7.8,,
16,1,45.0,47.0,13.0,184.7,29.04,10.04,45.6,0.9847,0.5968,7.51,200.5,45.63,,0.0,1.0,,,,,290,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",27.5,0.269,1.0,127.22,30.11,antihelion,76.5,,
39,2,201.0,204.5,11.0,89.25,-11.18,58.59,203.4,0.7447,0.9599,113.1,61.29,23.4,,0.0,1.0,,,,,55,7,7,"2019,2020,2021,2022,2023,2024,2025",4.0,0.364,1.0,245.37,-34.12,south_apex,29.5,,
13,1,234.0,236.0,11.0,75.44,26.68,40.61,234.72,0.1306,0.9826,10.54,319.23,234.72,,0.0,1.0,,,,,195,7,7,"2019,2020,2021,2022,2023,2024,2025",24.0,0.338,0.641,202.5,3.9,antihelion,4.6,,
58,2,36.0,39.5,17.0,270.64,7.42,55.2,38.4,0.5267,0.9654,105.23,268.58,38.39,,0.0,1.0,,,,,72,7,7,"2020,2021,2022,2023,2024,2025,2026",7.0,0.361,1.0,232.45,31.58,north_apex,38.3,,
76,3,144.0,149.0,17.0,76.07,36.46,65.69,145.05,0.6367,0.9798,152.04,104.03,145.05,,0.0,1.0,,,,,138,7,7,"2019,2020,2021,2022,2023,2024,2025",17.0,0.362,1.0,293.59,14.4,north_apex,22.8,,
14,1,156.0,158.0,11.0,32.37,-13.7,54.73,156.54,0.335,0.9887,106.97,110.35,336.54,,0.0,1.0,,,,,72,7,7,"2019,2020,2021,2022,2023,2024,2025",8.0,0.347,1.0,227.35,-24.76,antihelion,36.4,,
18,1,223.5,225.5,17.0,112.43,2.52,65.12,224.8,0.682,0.8969,142.44,69.04,44.8,,0.0,1.0,,,,,76,7,7,"2019,2020,2021,2022,2023,2024,2025",9.0,0.263,1.0,249.14,-18.88,south_apex,20.3,,
11,1,223.5,225.5,11.0,65.46,12.44,36.01,224.35,0.1821,0.9278,17.89,134.56,44.35,,0.0,1.0,,,,,102,7,7,"2019,2020,2021,2022,2023,2024,2025",15.0,0.255,1.0,202.36,-8.6,antihelion,8.9,,
