window_start,window_end,n_members,subsample_fraction,dominant_iau,dominant_iau_fraction,sporadic_fraction,q_med,e_med,i_med,peri_med,node_med,vgeo_med,thr_d_sh,thr_d_d,thr_d_h
0.0,2.0,5552,0.6006,,0.0,0.883,0.7835,0.8295,28.375,198.763,1.688,34.973,0.19198,0.10001,0.22648
0.0,2.0,24,0.6006,,0.0,1.0,0.4648,0.9668,130.839,83.822,1.026,60.892,0.19198,0.10001,0.22648
0.0,2.0,24,0.6006,,0.0,1.0,0.7008,0.9575,112.304,112.806,0.41,58.629,0.19198,0.10001,0.22648
1.0,3.0,5355,0.6977,,0.0,0.898,0.7975,0.8303,32.193,201.098,2.523,35.657,0.20503,0.09582,0.20081
1.0,3.0,8,0.6977,,0.0,1.0,0.3645,0.8838,111.647,111.167,182.438,54.734,0.20503,0.09582,0.20081
1.0,3.0,17,0.6977,,0.0,1.0,0.5041,0.9436,153.396,268.303,181.84,64.082,0.20503,0.09582,0.20081
1.0,3.0,104,0.6977,,0.0,1.0,0.6129,0.9372,67.234,81.136,181.847,42.737,0.20503,0.09582,0.20081
1.0,3.0,73,0.6977,,0.0,1.0,0.5558,0.9567,143.059,95.467,1.8,62.884,0.20503,0.09582,0.20081
1.0,3.0,15,0.6977,,0.0,1.0,0.4615,0.9794,75.456,84.18,1.768,46.766,0.20503,0.09582,0.20081
1.0,3.0,14,0.6977,,0.0,1.0,0.7275,0.9528,111.472,115.433,1.959,58.112,0.20503,0.09582,0.20081
1.0,3.0,15,0.6977,,0.0,1.0,0.5831,0.9695,60.567,98.962,2.627,40.495,0.20503,0.09582,0.20081
2.0,4.0,5011,0.7901,,0.0,0.918,0.8067,0.8298,27.966,197.534,3.454,34.449,0.20689,0.07852,0.17988
2.0,4.0,43,0.7901,,0.0,1.0,0.6727,0.9414,137.646,108.069,3.127,63.396,0.20689,0.07852,0.17988
2.0,4.0,95,0.7901,,0.0,1.0,0.454,0.9668,66.801,96.283,183.093,44.245,0.20689,0.07852,0.17988
2.0,4.0,12,0.7901,,0.0,1.0,0.3065,0.9606,53.14,294.683,2.894,42.125,0.20689,0.07852,0.17988
2.0,4.0,18,0.7901,,0.0,1.0,0.7611,0.9137,156.664,299.967,182.708,67.218,0.20689,0.07852,0.17988
2.0,4.0,8,0.7901,,0.0,1.0,0.2817,0.9324,161.038,117.922,182.827,61.551,0.20689,0.07852,0.17988
2.0,4.0,13,0.7901,,0.0,1.0,0.3876,0.9755,143.113,76.71,3.148,62.001,0.20689,0.07852,0.17988
2.0,4.0,8,0.7901,,0.0,1.0,0.6402,0.9272,140.476,284.943,182.6,63.906,0.20689,0.07852,0.17988
2.0,4.0,8,0.7901,,0.0,1.0,0.1714,0.9736,41.296,313.393,2.767,41.892,0.20689,0.07852,0.17988
2.0,4.0,39,0.7901,DME,0.769,0.231,0.992,0.9624,58.515,352.049,182.525,36.518,0.20689,0.07852,0.17988
2.0,4.0,8,0.7901,,0.0,1.0,0.9459,0.8843,73.021,27.09,182.435,42.905,0.20689,0.07852,0.17988
2.0,4.0,13,0.7901,,0.0,1.0,0.5796,0.9617,61.957,98.482,2.956,41.535,0.20689,0.07852,0.17988
3.0,5.0,5191,0.7732,,0.0,0.917,0.8013,0.8285,27.504,200.122,4.41,33.789,0.17036,0.10073,0.19919
3.0,5.0,70,0.7732,,0.0,1.0,0.4578,0.982,66.787,95.129,183.923,44.731,0.17036,0.10073,0.19919
3.0,5.0,70,0.7732,,0.0,1.0,0.6287,0.9459,137.104,102.52,4.134,62.222,0.17036,0.10073,0.19919
3.0,5.0,13,0.7732,DME,0.692,0.308,0.9926,0.9636,59.338,352.185,183.898,36.905,0.17036,0.10073,0.19919
3.0,5.0,8,0.7732,,0.0,1.0,0.5802,0.9856,61.682,99.089,3.472,41.433,0.17036,0.10073,0.19919
3.0,5.0,10,0.7732,,0.0,1.0,0.4819,0.9736,157.915,85.702,4.081,64.535,0.17036,0.10073,0.19919
