n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep
2936,4,28.5,35.0,1334.0,272.27,33.29,46.78,32.43,0.92,0.9573,79.59,214.26,32.43,LYR,0.98,0.02,LYR,0.08,,
12326,7,255.0,266.0,584.47,113.44,32.33,33.9,261.96,0.1453,0.8894,23.02,324.16,261.96,GEM,0.974,0.024,GEM,0.06,,
4334,6,280.5,290.0,550.31,229.49,49.4,40.61,283.01,0.979,0.6424,71.24,171.41,283.01,QUA,0.959,0.041,QUA,0.34,BBO,3.24
5057,17,118.5,137.0,548.0,337.91,-16.87,40.99,124.15,0.0682,0.9725,27.91,153.21,304.14,SDA,1.0,0.0,SDA,1.7,,
1975,10,229.5,242.0,366.12,154.49,21.59,70.11,236.31,0.9851,0.8608,162.18,173.08,236.31,LEO,1.0,0.0,LEO,0.21,,
9704,19,34.5,62.0,308.74,338.1,-0.79,65.54,46.02,0.578,0.9443,163.47,96.89,46.01,ETA,1.0,0.0,ETA,0.01,MKQ,4.11
4687,20,108.0,137.0,255.06,306.39,-8.86,21.9,128.48,0.6069,0.7563,7.25,266.07,128.51,CAP,0.925,0.012,CAP,0.36,XCS,3.13
634,3,66.0,71.0,240.9,209.01,28.07,11.45,69.44,0.9909,0.6439,10.59,199.58,69.47,TAH,0.904,0.096,,,,
402,3,48.0,53.0,189.0,290.58,43.65,44.09,50.3,0.9988,0.9639,74.47,192.19,50.31,ELY,0.992,0.008,ELY,0.22,,
277,2,268.5,272.0,187.0,219.36,75.77,33.07,270.3,0.9393,0.8221,52.62,205.9,270.3,URS,1.0,0.0,URS,0.25,,
1135,10,253.5,267.5,187.0,99.03,8.42,41.84,256.02,0.1749,0.9835,36.75,131.2,76.02,MON,0.966,0.034,MON,1.08,CMI,6.92
8583,16,199.5,219.5,185.51,96.04,15.72,65.73,209.29,0.5578,0.9259,163.77,85.14,29.29,ORI,1.0,0.0,ORI,0.14,XGM,3.13
9275,10,132.0,144.5,147.59,46.33,57.65,59.02,139.33,0.9534,0.9351,113.17,151.33,139.33,PER,1.0,0.0,PER,0.47,,
16,1,123.0,125.0,115.0,338.1,-16.62,41.8,123.6,0.0599,0.9778,29.59,154.64,303.59,SDA,1.0,0.0,SDA,1.45,,
436,7,34.5,45.5,115.0,203.32,-11.01,18.8,38.49,0.7465,0.7445,0.69,67.34,218.09,HVI,0.917,0.083,HVI,0.2,,
258,4,295.5,302.0,110.0,169.67,32.46,41.4,299.12,0.2194,0.8605,67.55,312.83,299.12,XUM,1.0,0.0,XUM,0.35,,
154,2,124.5,128.0,106.0,279.95,50.5,27.48,125.5,0.9778,0.972,40.2,202.33,125.51,GDR,1.0,0.0,GDR,0.03,,
8451,22,211.5,243.5,81.89,57.94,22.66,28.16,229.04,0.3603,0.8329,2.82,293.65,229.01,ATU,0.725,0.001,NTA,1.22,NET,0.14
205,4,297.0,303.5,69.0,228.38,67.61,29.33,299.55,0.9514,0.6511,47.96,203.67,299.55,GUM,1.0,0.0,GUM,0.24,,
92,2,190.5,194.0,67.0,167.95,78.53,46.06,192.6,0.9909,0.9605,78.06,169.03,192.6,OCT,1.0,0.0,OCT,0.07,OSD,7.95
1265,9,160.5,174.5,65.25,47.61,39.48,64.27,167.27,0.7144,0.959,139.03,246.01,167.27,SPE,0.954,0.046,SPE,0.3,PIE,3.31
22,1,129.0,131.0,65.0,342.03,-15.26,40.8,129.35,0.0766,0.9717,26.16,151.09,309.34,SDA,1.0,0.0,SDA,0.37,AOA,6.31
280,7,102.0,113.0,62.0,345.78,10.26,64.11,106.03,0.5932,0.9573,148.15,261.92,106.02,JPE,1.0,0.0,JPE,1.42,FPE,1.33
150,1,93.0,95.0,61.35,331.56,29.12,58.85,93.95,0.8988,0.9733,112.72,220.08,93.95,JIP,1.0,0.0,JIP,0.09,,
15,1,120.0,122.0,61.0,336.34,-17.07,42.18,121.37,0.0523,0.9796,31.24,156.47,301.36,SDA,1.0,0.0,SDA,2.54,,
167,2,82.5,86.0,59.78,320.33,44.23,49.83,83.73,1.0061,0.9344,88.24,191.19,83.73,JRC,1.0,0.0,JRC,0.18,SCY,5.79
8250,21,213.0,243.5,59.41,52.75,14.39,28.81,221.45,0.3437,0.8417,5.38,115.36,41.46,STS,0.484,0.003,STA,1.09,STS,1.02
98,2,193.5,197.0,57.0,262.69,55.87,20.41,195.07,0.9963,0.6844,31.23,173.18,195.07,DRA,1.0,0.0,DRA,0.07,,
260,7,349.5,360.5,57.0,253.63,49.06,34.44,350.49,0.9774,0.637,58.82,196.67,350.49,XHE,0.944,0.056,XHE,0.05,SSH,5.4
401,7,13.5,24.5,56.05,198.84,3.83,20.18,23.6,0.6954,0.7301,6.77,254.16,23.63,AVB,0.979,0.021,AVB,2.27,SLE,0.69
391,6,25.5,35.0,55.31,201.5,4.32,19.39,27.83,0.7244,0.7242,7.11,250.36,27.86,AVB,0.979,0.021,AVB,0.45,SLE,0.88
172,6,0.0,360.5,52.0,70.04,-78.07,36.33,0.75,0.9911,0.9601,57.97,351.86,180.75,DME,0.877,0.123,,,DME,1.35
1136,5,253.5,260.0,49.12,126.19,2.39,58.64,257.46,0.2465,0.9851,128.33,120.75,77.46,HYD,0.995,0.005,HYD,0.4,,
81,1,201.0,203.0,47.85,144.01,64.27,55.74,202.02,0.9806,0.9462,101.35,164.92,202.02,OCU,1.0,0.0,OCU,0.4,,
91,2,7.5,11.0,41.14,307.91,-60.34,58.65,9.89,0.9288,0.9545,110.28,328.88,189.89,DPA,1.0,0.0,,,DPA,0.69
65,3,12.0,17.0,41.0,275.46,54.11,36.23,15.04,1.0001,0.9434,58.41,178.7,15.04,GAD,0.863,0.137,,,GAD,0.28
122,3,88.5,93.5,39.65,10.1,5.48,69.49,90.91,0.9137,0.9367,178.13,142.53,90.78,DPI,0.986,0.014,,,DPI,0.1
75,2,24.0,27.5,38.16,242.15,13.93,45.35,25.05,0.4295,0.9856,68.6,278.63,25.05,PSR,1.0,0.0,KSE,3.43,PSR,0.06
85,4,99.0,105.5,37.0,28.88,6.56,68.61,103.19,0.8077,0.9721,170.69,306.09,283.23,JXA,0.978,0.022,JXA,6.61,,
114,5,205.5,212.0,37.0,160.25,36.71,61.71,209.17,0.6188,0.9716,124.91,103.17,209.17,LMI,1.0,0.0,LMI,0.12,,
287,7,165.0,176.0,37.0,116.3,56.13,58.31,171.86,0.7493,0.9287,113.0,117.98,171.86,SLY,0.936,0.064,,,UYL,2.57
90,3,76.5,81.5,37.0,338.39,20.61,65.13,78.81,1.0151,0.9634,133.48,180.55,78.8,GDE,1.0,0.0,,,GDE,0.38
204,2,81.0,84.5,36.0,314.85,33.32,52.79,82.36,0.9179,0.9544,95.45,216.6,82.36,JEC,0.986,0.014,,,JEC,0.22
776,4,262.5,269.0,35.73,161.16,30.71,63.2,267.92,0.5584,0.9624,134.44,263.06,267.92,COM,1.0,0.0,COM,1.53,DLM,0.36
65,3,15.0,20.0,35.0,203.15,-14.31,28.63,17.39,0.3943,0.8371,4.98,109.32,197.35,OAV,1.0,0.0,,,OAV,0.38
36,1,79.5,81.5,35.0,304.64,-33.0,35.88,80.81,0.0735,0.9271,47.84,158.19,260.8,,0.0,1.0,SZC,0.21,JTT,0.22
77,2,238.5,242.0,35.0,25.23,39.41,16.34,239.57,0.8356,0.721,11.66,230.59,239.57,AND,0.854,0.146,AND,6.56,,
263,5,306.0,314.0,35.0,231.39,28.18,57.4,307.48,0.9839,0.9352,104.3,176.54,307.48,ACB,0.943,0.057,ACB,0.55,RSE,4.4
160,3,300.0,305.0,31.0,199.43,-38.35,64.52,301.28,0.9805,0.7915,131.71,352.44,121.29,ICN,1.0,0.0,,,ICN,0.64
108,5,73.5,81.5,31.0,45.22,24.5,41.66,78.99,0.0655,0.9763,29.6,26.6,79.0,ARI,1.0,0.0,ARI,0.69,JEA,2.53
82,2,288.0,291.5,30.71,228.34,45.46,47.66,289.07,0.9815,0.9287,81.38,174.61,289.07,BBO,0.647,0.353,QUA,3.73,BBO,0.7
