n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
2936,4,28.5,35.0,1334.0,272.27,33.29,46.78,32.43,0.92,0.9573,79.59,214.26,32.43,LYR,0.98,0.02,LYR,0.08,,,8897,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",397.56,0.326,0.093,240.94,56.75,north_toroidal,15.6
12326,7,255.0,266.0,584.47,113.44,32.33,33.9,261.96,0.1453,0.8894,23.02,324.16,261.96,GEM,0.974,0.024,GEM,0.06,,,83415,8,8,"2018,2019,2020,2021,2022,2023,2024,2025",479.16,0.356,0.032,207.99,10.54,antihelion,13.2
4334,6,280.5,290.0,550.31,229.49,49.4,40.61,283.01,0.979,0.6424,71.24,171.41,283.01,QUA,0.959,0.041,QUA,0.34,BBO,3.24,10789,8,7,"2020,2021,2022,2023,2024,2025,2026",116.39,0.34,0.049,277.15,63.52,north_toroidal,4.9
5057,17,118.5,137.0,548.0,337.91,-16.87,40.99,124.15,0.0682,0.9725,27.91,153.21,304.14,SDA,1.0,0.0,SDA,1.7,,,18201,7,7,"2019,2020,2021,2022,2023,2024,2025",172.56,0.444,0.051,208.88,-7.31,antihelion,11.5
1975,10,229.5,242.0,366.12,154.49,21.59,70.11,236.31,0.9851,0.8608,162.18,173.08,236.31,LEO,1.0,0.0,LEO,0.21,,,5216,7,7,"2019,2020,2021,2022,2023,2024,2025",186.32,0.303,0.031,272.12,10.15,north_apex,5.3
9704,19,34.5,62.0,308.74,338.1,-0.79,65.54,46.02,0.578,0.9443,163.47,96.89,46.01,ETA,1.0,0.0,ETA,0.01,MKQ,4.11,14056,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",150.88,0.328,0.013,293.44,7.8,north_apex,24.1
4687,20,108.0,137.0,255.06,306.39,-8.86,21.9,128.48,0.6069,0.7563,7.25,266.07,128.51,CAP,0.925,0.012,CAP,0.36,XCS,3.13,9990,7,7,"2019,2020,2021,2022,2023,2024,2025",49.16,0.364,0.102,178.29,10.01,antihelion,23.8
634,3,66.0,71.0,240.9,209.01,28.07,11.45,69.44,0.9909,0.6439,10.59,199.58,69.47,TAH,0.904,0.096,,,,,1052,8,1,2022,-2.31,0.808,0.256,125.38,36.92,antihelion,79.8
402,3,48.0,53.0,189.0,290.58,43.65,44.09,50.3,0.9988,0.9639,74.47,192.19,50.31,ELY,0.992,0.008,ELY,0.22,,,1115,8,7,"2020,2021,2022,2023,2024,2025,2026",74.78,0.273,0.022,255.88,64.51,north_toroidal,8.0
277,2,268.5,272.0,187.0,219.36,75.77,33.07,270.3,0.9393,0.8221,52.62,205.9,270.3,URS,1.0,0.0,URS,0.25,,,1637,7,7,"2019,2020,2021,2022,2023,2024,2025",164.5,0.316,0.149,217.74,71.99,north_toroidal,24.4
1135,10,253.5,267.5,187.0,99.03,8.42,41.84,256.02,0.1749,0.9835,36.75,131.2,76.02,MON,0.966,0.034,MON,1.08,CMI,6.92,3438,8,8,"2018,2019,2020,2021,2022,2023,2024,2025",82.28,0.288,0.074,202.79,-14.86,antihelion,15.1
8583,16,199.5,219.5,185.51,96.04,15.72,65.73,209.29,0.5578,0.9259,163.77,85.14,29.29,ORI,1.0,0.0,ORI,0.14,XGM,3.13,21742,7,7,"2019,2020,2021,2022,2023,2024,2025",260.51,0.234,0.023,246.53,-7.56,south_apex,24.2
9275,10,132.0,144.5,147.59,46.33,57.65,59.02,139.33,0.9534,0.9351,113.17,151.33,139.33,PER,1.0,0.0,PER,0.47,,,51357,7,7,"2019,2020,2021,2022,2023,2024,2025",179.07,0.307,0.015,282.65,38.4,north_toroidal,23.1
16,1,123.0,125.0,115.0,338.1,-16.62,41.8,123.6,0.0599,0.9778,29.59,154.64,303.59,SDA,1.0,0.0,SDA,1.45,,,16227,7,7,"2019,2020,2021,2022,2023,2024,2025",136.09,0.449,0.054,209.04,-7.34,antihelion,11.6
436,7,34.5,45.5,115.0,203.32,-11.01,18.8,38.49,0.7465,0.7445,0.69,67.34,218.09,HVI,0.917,0.083,HVI,0.2,,,1335,8,5,"2019,2020,2024,2025,2026",8.9,0.449,0.423,167.06,-1.13,antihelion,33.0
258,4,295.5,302.0,110.0,169.67,32.46,41.4,299.12,0.2194,0.8605,67.55,312.83,299.12,XUM,1.0,0.0,XUM,0.35,,,654,7,7,"2020,2021,2022,2023,2024,2025,2026",78.5,0.315,0.106,218.15,25.78,antihelion,31.3
154,2,124.5,128.0,106.0,279.95,50.5,27.48,125.5,0.9778,0.972,40.2,202.33,125.51,GDR,1.0,0.0,GDR,0.03,,,930,7,7,"2019,2020,2021,2022,2023,2024,2025",104.0,0.327,0.053,167.27,73.27,north_toroidal,42.8
8451,22,211.5,243.5,81.89,57.94,22.66,28.16,229.04,0.3603,0.8329,2.82,293.65,229.01,ATU,0.725,0.001,NTA,1.22,NET,0.14,10604,7,7,"2019,2020,2021,2022,2023,2024,2025",48.65,0.281,0.037,191.59,2.41,antihelion,8.7
205,4,297.0,303.5,69.0,228.38,67.61,29.33,299.55,0.9514,0.6511,47.96,203.67,299.55,GUM,1.0,0.0,GUM,0.24,,,439,7,7,"2020,2021,2022,2023,2024,2025,2026",14.93,0.269,0.098,218.84,74.25,north_toroidal,24.5
92,2,190.5,194.0,67.0,167.95,78.53,46.06,192.6,0.9909,0.9605,78.06,169.03,192.6,OCT,1.0,0.0,OCT,0.07,OSD,7.95,199,7,7,"2019,2020,2021,2022,2023,2024,2025",26.0,0.327,0.025,281.78,61.96,north_toroidal,6.0
1265,9,160.5,174.5,65.25,47.61,39.48,64.27,167.27,0.7144,0.959,139.03,246.01,167.27,SPE,0.954,0.046,SPE,0.3,PIE,3.31,1873,7,7,"2019,2020,2021,2022,2023,2024,2025",47.74,0.265,0.035,248.99,21.15,north_apex,20.9
22,1,129.0,131.0,65.0,342.03,-15.26,40.8,129.35,0.0766,0.9717,26.16,151.09,309.34,SDA,1.0,0.0,SDA,0.37,AOA,6.31,21491,7,7,"2019,2020,2021,2022,2023,2024,2025",135.88,0.367,0.064,208.18,-7.6,antihelion,11.2
280,7,102.0,113.0,62.0,345.78,10.26,64.11,106.03,0.5932,0.9573,148.15,261.92,106.02,JPE,1.0,0.0,JPE,1.42,FPE,1.33,727,7,6,"2020,2021,2022,2023,2024,2025",11.6,0.333,0.025,244.7,14.89,north_apex,24.4
