family,augmentation,d,depth,n_features,logistic,logistic_std,boosted_trees,boosted_trees_std
F1_peak_swap,A0_mag_only,1,1,1,0.5212,0.0368,0.4938,0.0362
F1_peak_swap,A0_mag_only,1,2,2,0.49,0.0226,0.4963,0.0146
F1_peak_swap,A0_mag_only,1,3,3,0.4875,0.025,0.4963,0.0146
F1_peak_swap,A0_mag_only,1,4,4,0.4925,0.031,0.4963,0.0146
F1_peak_swap,A1_time_aug,2,1,2,0.53,0.016,0.5237,0.026
F1_peak_swap,A1_time_aug,2,2,6,0.5138,0.0187,0.4888,0.0108
F1_peak_swap,A1_time_aug,2,3,14,0.9788,0.0064,0.9775,0.0102
F1_peak_swap,A1_time_aug,2,4,30,0.9938,0.0,0.99,0.005
F1_peak_swap,A2_basepoint_time,2,1,2,0.5275,0.0188,0.4637,0.0315
F1_peak_swap,A2_basepoint_time,2,2,6,0.5175,0.0183,0.4813,0.0301
F1_peak_swap,A2_basepoint_time,2,3,14,0.99,0.0064,0.9888,0.0047
F1_peak_swap,A2_basepoint_time,2,4,30,0.9925,0.0047,0.9875,0.004
F1_peak_swap,A3_leadlag_time,4,1,4,0.53,0.016,0.5237,0.026
F1_peak_swap,A3_leadlag_time,4,2,20,0.5388,0.0315,0.5162,0.0364
F1_peak_swap,A3_leadlag_time,4,3,84,0.9812,0.0056,0.9812,0.0079
F1_peak_swap,A3_leadlag_time,4,4,340,0.995,0.0025,0.9875,0.0056
F1_peak_swap,A4_leadlag_basepoint,4,1,4,0.5287,0.0208,0.4637,0.0315
F1_peak_swap,A4_leadlag_basepoint,4,2,20,0.52,0.0155,0.5212,0.038
F1_peak_swap,A4_leadlag_basepoint,4,3,84,0.9912,0.0064,0.9863,0.0083
F1_peak_swap,A4_leadlag_basepoint,4,4,340,0.9962,0.0031,0.9912,0.0064
F1_peak_swap,A5_leadlag_mag,2,1,2,0.5212,0.0368,0.4938,0.0362
F1_peak_swap,A5_leadlag_mag,2,2,6,0.5212,0.0278,0.5188,0.0609
F1_peak_swap,A5_leadlag_mag,2,3,14,0.5062,0.0224,0.4975,0.0337
F1_peak_swap,A5_leadlag_mag,2,4,30,0.5037,0.0161,0.4838,0.0204
F1_peak_swap,A6_delay_tau0.05,3,1,3,0.5138,0.0127,0.4987,0.039
F1_peak_swap,A6_delay_tau0.05,3,2,12,0.5175,0.0155,0.5012,0.0121
F1_peak_swap,A6_delay_tau0.05,3,3,39,0.9863,0.0047,0.9838,0.0102
F1_peak_swap,A6_delay_tau0.05,3,4,120,0.9912,0.0064,0.9863,0.0073
F1_peak_swap,A7_cum_integral,3,1,3,0.52,0.0155,0.5125,0.0244
F1_peak_swap,A7_cum_integral,3,2,12,0.985,0.0064,0.9688,0.0143
F1_peak_swap,A7_cum_integral,3,3,39,0.995,0.0025,0.9825,0.0083
F1_peak_swap,A7_cum_integral,3,4,120,0.9913,0.0031,0.9838,0.0102
F1_peak_swap,A8_running_max,3,1,3,0.5287,0.0353,0.5038,0.0427
F1_peak_swap,A8_running_max,3,2,12,0.9838,0.005,0.9788,0.0094
F1_peak_swap,A8_running_max,3,3,39,0.9875,0.004,0.99,0.0031
F1_peak_swap,A8_running_max,3,4,120,0.9925,0.0047,0.9887,0.0025
F1_peak_swap,A9_ewma_tau0.05,3,1,3,0.5225,0.014,0.5188,0.025
F1_peak_swap,A9_ewma_tau0.05,3,2,12,0.5325,0.0278,0.4987,0.0121
F1_peak_swap,A9_ewma_tau0.05,3,3,39,0.9875,0.0056,0.9838,0.0085
F1_peak_swap,A9_ewma_tau0.05,3,4,120,0.9925,0.0061,0.9825,0.0073
F1_thin,A0_mag_only,1,1,1,0.5137,0.0278,0.5363,0.0378
F1_thin,A0_mag_only,1,2,2,0.5137,0.0278,0.5212,0.0423
F1_thin,A0_mag_only,1,3,3,0.5225,0.0188,0.5212,0.0423
F1_thin,A0_mag_only,1,4,4,0.5125,0.0105,0.5212,0.0423
F1_thin,A1_time_aug,2,1,2,0.5188,0.0435,0.5137,0.0165
F1_thin,A1_time_aug,2,2,6,0.5112,0.0493,0.55,0.0338
F1_thin,A1_time_aug,2,3,14,0.7887,0.0404,0.8225,0.0344
F1_thin,A1_time_aug,2,4,30,0.83,0.01,0.865,0.0236
F1_thin,A2_basepoint_time,2,1,2,0.52,0.0406,0.5062,0.0342
F1_thin,A2_basepoint_time,2,2,6,0.5312,0.0347,0.5125,0.0259
F1_thin,A2_basepoint_time,2,3,14,0.8225,0.0116,0.8525,0.0278
F1_thin,A2_basepoint_time,2,4,30,0.8362,0.0092,0.8812,0.0369
F1_thin,A3_leadlag_time,4,1,4,0.5188,0.0435,0.5137,0.0165
F1_thin,A3_leadlag_time,4,2,20,0.5312,0.0373,0.5325,0.0195
F1_thin,A3_leadlag_time,4,3,84,0.8375,0.0375,0.8587,0.041
F1_thin,A3_leadlag_time,4,4,340,0.9013,0.0222,0.8988,0.0073
F1_thin,A4_leadlag_basepoint,4,1,4,0.52,0.0406,0.5062,0.0342
F1_thin,A4_leadlag_basepoint,4,2,20,0.54,0.014,0.5162,0.0151
F1_thin,A4_leadlag_basepoint,4,3,84,0.8538,0.0242,0.8925,0.0083
