plate_id,epoch,exposure_length,source_fraction,median,mad
a02115,1896-10-02T03:43:12Z,65.0,0.00522,6774.0,72.0
a02149,1896-10-28T01:32:09.6Z,132.0,0.05948,4329.0,78.0
a02183,1896-11-25T01:49:26.4Z,138.0,0.05885,4464.0,118.0
a02187,1896-11-30T00:10:43.4Z,,0.04443,5544.0,210.0
a02189,1896-12-02T01:50:33.9Z,210.0,0.05139,5776.0,166.0
a02793,1897-10-05T03:27:21.6Z,10.0,0.00574,4217.0,44.0
a03307,1898-09-16T04:08:40.2Z,30.0,0.21811,4268.0,144.0
a03393,1898-11-11T02:41:16.8Z,300.0,0.02669,6183.0,261.0
a03986,1899-09-29T00:12:57.6Z,45.0,0.00274,3558.0,116.0
a03987,1899-09-29T01:00:28.8Z,40.0,0.00337,3583.0,89.0
a03988,1899-09-29T01:43:40.8Z,35.0,0.00303,3597.0,87.0
a03989,1899-09-29T02:22:33.6Z,35.0,0.00321,3653.0,86.0
a03990,1899-09-29T03:00:00Z,35.0,0.00303,3469.0,118.0
a03991,1899-09-29T03:40:19.2Z,40.0,0.00401,3685.0,100.0
